,asphalt,concrete,paving_stones,sett,unpaved
1,76.72,85.9,96.01,88.53,99.39
2,95.81,71.79,95.09,94.95,95.71
3,94.3,82.05,96.32,95.87,93.25
4,93.97,83.97,96.63,91.74,91.41
5,97.82,68.59,96.32,94.04,95.09
6,84.59,90.38,92.94,97.71,95.71
7,89.95,85.26,92.64,97.25,93.87
8,93.97,85.26,95.71,90.37,89.57
9,87.27,71.79,88.65,94.95,99.39
10,97.32,82.69,94.17,96.79,80.37
11,96.48,82.69,95.09,95.41,87.73
12,94.14,85.26,95.09,87.16,89.57
13,95.81,78.85,96.63,92.2,92.64
14,96.65,80.13,92.33,97.71,92.02
15,84.76,88.46,94.48,97.25,91.41
16,98.83,65.38,95.71,88.07,83.44
17,94.97,83.33,94.17,92.66,92.64
18,94.81,82.69,93.25,97.25,92.64
19,96.48,83.97,94.48,95.87,95.71
20,96.31,83.33,96.01,89.45,86.5
21,94.3,78.85,91.1,98.17,96.93
22,94.3,87.18,94.79,96.33,93.87
23,96.98,72.44,92.33,97.25,89.57
24,96.82,73.08,95.09,97.25,90.18
25,94.64,84.62,95.09,98.17,92.02
26,89.28,89.74,96.32,92.66,93.25
27,95.64,80.77,95.09,96.79,92.02
28,96.31,77.56,97.24,89.45,89.57
29,94.47,85.26,95.09,96.79,89.57
30,97.65,67.31,93.25,97.71,92.64
31,94.47,87.18,93.87,95.41,89.57
32,98.32,74.36,98.77,83.94,87.12
33,96.82,80.13,95.4,95.41,94.48
34,96.82,82.05,96.01,94.95,92.64
35,97.49,83.97,94.79,94.95,91.41
36,96.65,83.33,94.48,97.25,88.34
37,96.48,82.05,94.79,93.58,94.48
38,96.31,82.69,96.32,92.2,94.48
39,94.3,82.05,95.09,93.58,97.55
40,96.15,82.05,95.71,94.04,93.25
41,97.49,82.69,96.93,92.66,92.02
42,96.31,83.33,96.01,95.41,91.41
43,94.3,88.46,96.01,95.41,95.09
44,95.31,85.9,96.93,94.04,94.48
45,97.65,82.69,97.24,94.5,91.41
46,96.31,84.62,97.24,94.5,92.02
47,96.15,85.9,95.4,97.25,92.02
48,95.64,86.54,95.4,97.25,92.02
49,95.64,86.54,95.4,97.25,92.02
50,96.31,86.54,95.4,97.25,92.02
