,asphalt,concrete,paving_stones,sett,unpaved
1,97.15,61.54,95.71,94.95,76.07
2,94.81,69.23,73.62,100.0,88.34
3,97.15,66.03,96.63,94.5,93.25
4,98.49,74.36,96.63,88.99,92.02
5,94.81,77.56,94.79,93.12,90.18
6,97.32,69.23,97.24,93.12,93.87
7,96.15,75.0,97.24,95.41,93.25
8,96.15,82.69,93.87,96.79,90.8
9,90.62,87.82,96.93,89.45,95.09
10,89.78,87.82,95.4,85.78,91.41
11,98.49,64.1,93.56,96.33,90.8
12,98.32,70.51,93.87,91.74,74.23
13,88.44,89.1,96.93,94.5,88.96
14,95.14,85.9,92.64,96.33,75.46
15,91.79,85.26,95.71,91.74,91.41
16,96.65,74.36,93.25,97.25,88.34
17,96.65,75.64,93.87,97.71,87.73
18,96.31,79.49,95.4,93.58,82.21
19,95.64,78.85,92.94,97.25,92.64
20,93.13,82.69,93.25,97.25,95.09
21,90.79,82.69,94.17,95.41,95.71
22,97.65,62.18,96.93,88.53,90.18
23,86.6,91.03,91.72,95.87,75.46
24,90.79,78.21,96.63,92.66,95.09
25,93.47,83.33,93.25,96.79,93.87
26,94.64,80.13,87.42,97.25,95.09
27,95.64,75.64,95.71,92.66,93.87
28,95.48,82.05,92.94,94.04,90.8
29,91.62,85.26,96.32,81.65,90.8
30,93.8,75.0,94.17,94.95,95.71
31,98.32,64.1,92.64,96.33,87.73
32,96.82,71.79,96.32,92.66,92.02
33,93.97,77.56,88.96,97.25,97.55
34,96.31,76.92,94.79,94.04,95.09
35,87.77,88.46,96.93,92.66,88.96
36,98.99,67.95,94.79,91.74,82.82
37,95.98,79.49,91.1,96.33,88.96
38,89.28,85.26,95.71,95.41,91.41
39,97.65,66.67,95.09,93.58,92.02
40,91.79,76.28,92.94,91.74,96.32
41,91.62,81.41,97.24,84.4,95.09
42,94.3,81.41,92.94,92.66,71.17
43,97.15,73.72,94.48,91.74,89.57
44,97.32,72.44,96.93,88.07,91.41
45,92.46,82.05,94.17,95.41,96.32
46,92.46,77.56,95.71,94.95,96.32
47,93.3,83.97,95.4,96.33,93.87
48,94.47,80.13,91.72,99.54,95.71
49,90.12,85.26,90.18,98.62,93.25
50,91.46,85.26,94.48,96.79,93.87
51,98.66,77.56,96.01,91.74,83.44
52,93.63,80.77,91.72,98.62,96.32
53,96.98,74.36,92.33,96.33,88.34
54,95.98,78.21,93.25,92.66,92.02
55,93.47,81.41,95.09,95.41,91.41
56,97.15,69.87,92.94,95.87,92.64
57,96.82,67.95,90.8,97.71,94.48
58,93.63,83.97,95.09,95.87,95.09
59,95.81,76.28,94.79,93.58,92.02
60,86.43,91.03,94.17,95.41,97.55
61,93.47,77.56,96.01,91.74,95.71
62,97.15,72.44,96.01,95.41,91.41
63,95.81,75.64,94.17,95.87,92.02
64,92.63,67.95,97.24,93.58,95.09
65,93.47,78.21,96.93,88.53,95.71
66,90.79,85.26,96.01,92.66,93.87
67,95.64,78.21,93.87,94.04,87.12
68,87.44,87.82,94.48,93.58,96.32
69,95.14,81.41,93.56,95.41,87.73
70,94.14,86.54,92.33,92.2,77.3
71,91.62,85.9,94.17,94.95,93.25
72,94.14,82.69,94.17,94.95,93.25
73,92.29,81.41,95.09,88.07,96.32
74,94.81,79.49,93.56,93.12,93.25
75,89.95,85.26,94.48,95.87,94.48
