,asphalt,concrete,paving_stones,sett,unpaved
1,65.16,87.18,90.18,95.87,94.48
2,87.1,82.69,95.09,94.5,95.71
3,87.6,85.26,96.93,93.58,93.25
4,94.97,82.69,96.63,93.58,93.25
5,94.97,81.41,95.09,96.33,94.48
6,96.65,82.05,94.79,96.79,92.02
7,94.97,84.62,94.79,96.33,95.09
8,91.12,89.1,92.94,94.95,92.64
9,92.13,86.54,93.25,96.33,95.09
10,95.14,83.33,94.17,95.41,90.8
11,92.96,87.82,93.56,96.79,90.18
12,94.81,88.46,95.4,95.87,88.96
13,93.97,87.82,95.09,95.87,90.18
14,93.47,86.54,94.48,94.95,93.87
15,95.64,83.33,95.09,95.87,94.48
16,92.8,87.82,95.4,96.33,92.64
17,96.65,81.41,95.4,94.95,88.96
18,93.3,87.18,95.71,96.79,86.5
19,95.48,84.62,97.24,94.95,88.34
20,95.81,84.62,95.4,96.33,92.64
21,93.13,86.54,95.4,96.33,94.48
22,94.64,83.33,97.55,93.58,94.48
23,95.48,82.69,97.55,94.5,92.64
24,95.48,86.54,96.93,94.04,91.41
25,95.64,84.62,95.71,95.41,93.25
26,92.96,87.18,94.79,97.71,90.8
27,92.46,87.18,96.63,94.95,95.09
28,94.47,85.9,96.01,94.5,93.87
29,93.8,86.54,94.79,95.41,91.41
30,95.64,83.97,96.63,94.04,91.41
31,95.14,86.54,96.32,93.58,91.41
32,93.3,86.54,94.48,96.79,92.64
33,93.8,85.9,94.79,97.71,93.25
34,94.47,83.97,96.32,95.87,92.64
35,95.64,83.97,96.01,94.5,92.64
36,93.63,85.9,95.09,95.41,92.64
37,93.47,84.62,95.71,94.04,95.09
38,93.47,85.26,94.17,95.87,95.09
39,93.13,85.26,95.71,94.95,93.87
40,94.14,85.26,94.79,95.87,94.48
41,94.47,85.26,95.71,95.41,92.64
42,94.3,86.54,95.71,95.87,92.64
43,95.14,84.62,95.4,95.87,92.64
44,93.47,85.9,95.71,95.87,93.87
45,94.14,84.62,96.32,95.87,94.48
46,95.48,85.26,95.71,95.87,92.02
47,94.97,85.26,95.71,95.87,94.48
48,93.47,85.9,95.4,95.41,93.25
49,95.31,85.26,95.71,95.87,93.25
50,94.14,84.62,95.4,95.87,93.87
