,asphalt,concrete,paving_stones,sett,unpaved
1,60.8,87.18,92.33,88.53,95.71
2,85.26,84.62,94.79,90.83,96.93
3,86.93,89.74,95.71,93.58,93.87
4,87.27,89.1,96.93,94.5,94.48
5,89.11,88.46,93.87,96.33,94.48
6,90.12,87.18,97.85,90.37,95.09
7,94.64,85.26,95.09,96.33,89.57
8,94.81,84.62,95.4,96.33,92.64
9,88.78,88.46,96.63,93.58,92.02
10,95.81,82.69,94.79,93.12,90.8
11,93.97,86.54,97.24,91.74,95.09
12,91.12,87.18,96.32,94.5,96.32
13,95.48,86.54,96.01,94.95,92.02
14,93.97,86.54,96.32,95.87,93.87
15,95.14,84.62,96.01,94.04,90.18
16,94.14,85.26,96.63,95.87,93.25
17,90.12,88.46,96.01,93.58,93.25
18,94.97,86.54,96.01,95.87,90.18
19,92.13,88.46,96.63,93.58,95.71
20,93.13,89.1,96.01,94.04,93.25
21,96.31,85.9,94.48,96.33,87.73
22,93.13,87.82,96.01,94.04,92.02
23,92.46,88.46,96.93,93.58,95.09
24,95.14,85.9,94.48,96.79,91.41
25,96.48,84.62,95.09,95.41,93.25
26,94.14,86.54,94.48,96.79,94.48
27,95.14,87.82,96.01,94.04,90.8
28,93.3,85.26,96.32,93.12,94.48
29,95.81,80.13,94.17,96.33,93.25
30,94.97,86.54,95.09,95.87,93.25
31,95.64,85.26,95.4,95.41,85.28
32,94.97,85.9,94.79,94.5,93.87
33,94.81,87.82,94.48,94.04,88.96
34,95.81,84.62,95.09,93.58,91.41
35,95.98,87.18,95.71,94.04,90.8
36,93.97,87.82,94.79,94.04,93.25
37,96.31,80.77,95.09,95.87,92.64
38,96.65,85.26,96.93,94.5,91.41
39,95.64,87.82,95.09,97.71,85.89
40,95.98,87.18,94.79,95.41,90.18
41,94.47,84.62,96.32,92.2,95.09
42,95.48,79.49,97.55,93.12,94.48
43,93.97,85.26,96.63,94.5,96.32
44,97.15,84.62,96.01,94.5,93.25
45,93.63,88.46,94.48,96.79,91.41
46,95.48,85.9,95.4,94.5,89.57
47,92.96,87.18,95.09,96.33,94.48
48,95.98,87.18,95.4,94.04,90.18
49,95.31,87.82,94.48,94.04,90.8
