,asphalt,concrete,paving_stones,sett,unpaved
1,83.25,84.62,91.1,95.87,92.64
2,89.78,86.54,93.56,93.58,88.34
3,90.79,82.05,96.63,90.37,99.39
4,93.8,76.92,93.87,95.87,96.32
5,96.65,76.92,93.56,93.58,91.41
6,94.14,82.69,96.93,91.28,93.25
7,94.64,83.33,94.79,94.95,92.64
8,93.47,85.9,92.02,97.71,97.55
9,97.49,78.21,95.09,93.58,95.09
10,93.13,87.18,95.71,94.04,95.09
11,94.47,77.56,95.71,91.28,93.25
12,93.47,86.54,95.4,94.5,92.02
13,94.64,75.0,96.32,94.5,96.93
14,95.64,80.13,92.64,98.17,95.09
15,92.63,83.97,96.32,95.41,95.71
16,94.14,82.69,94.79,98.17,95.09
17,93.97,84.62,96.01,95.87,95.71
18,95.14,78.85,96.63,94.04,96.32
19,95.31,81.41,94.48,96.33,95.09
20,95.81,78.21,96.93,92.2,93.87
21,95.64,81.41,95.4,94.5,90.18
22,97.15,75.0,92.64,96.79,92.02
23,93.8,78.21,95.71,95.41,93.25
24,96.31,82.05,93.87,96.33,95.09
25,95.48,82.05,96.63,94.95,94.48
26,95.48,81.41,95.4,96.33,95.71
27,95.48,82.69,93.87,96.33,96.32
28,93.47,82.69,95.4,95.41,97.55
29,94.97,82.69,94.79,95.87,95.09
30,93.8,82.05,95.4,94.5,98.16
31,93.63,83.33,95.71,96.79,95.09
32,95.14,84.62,95.09,97.71,92.64
33,93.63,83.97,96.63,94.95,96.93
34,96.31,82.69,95.71,96.33,97.55
35,94.97,83.33,96.01,96.33,98.16
36,95.81,83.97,95.4,96.33,96.93
37,95.48,83.97,95.4,96.79,95.71
38,95.14,83.97,95.4,97.25,94.48
39,94.14,84.62,96.01,96.79,96.32
40,95.31,83.97,96.01,97.25,96.93
41,95.81,83.97,95.4,97.25,96.32
42,94.81,83.97,96.01,96.33,95.71
43,94.97,83.97,96.01,96.79,95.71
44,94.81,83.97,95.4,97.25,95.71
45,94.64,83.97,95.71,96.79,96.93
46,94.64,84.62,95.71,97.25,95.71
47,94.64,83.97,95.71,96.79,96.32
48,94.47,83.97,95.09,97.25,96.32
49,95.14,83.97,95.4,97.25,96.93
50,94.81,83.97,95.4,97.25,96.93
