,asphalt,concrete,paving_stones,sett,unpaved
1,86.43,76.92,94.17,94.95,98.77
2,93.63,78.21,93.25,97.25,97.55
3,92.46,82.69,94.48,95.41,95.09
4,94.3,78.21,94.48,94.5,97.55
5,93.63,76.92,94.17,96.79,96.32
6,95.64,77.56,94.79,95.41,93.25
7,96.48,78.21,94.17,96.33,94.48
8,93.97,80.77,96.01,89.91,92.02
9,93.8,78.21,96.32,94.5,96.93
10,93.8,79.49,98.47,87.16,90.8
11,95.31,75.0,96.01,93.58,95.71
12,94.81,83.33,96.01,92.66,92.02
13,96.82,83.33,95.71,93.58,92.02
14,93.3,82.69,94.48,95.87,95.71
15,94.3,80.77,95.71,90.37,92.02
16,93.97,79.49,94.48,93.58,96.93
17,95.48,75.0,95.09,96.33,95.09
18,95.14,77.56,93.25,96.33,96.32
19,94.14,73.72,95.71,94.5,97.55
20,91.12,87.82,94.17,95.41,94.48
21,92.46,86.54,95.71,94.95,95.09
22,97.49,82.69,94.79,94.95,94.48
23,95.14,81.41,95.71,94.95,95.09
24,95.48,80.13,95.71,97.25,94.48
25,94.47,84.62,94.17,95.87,93.25
26,95.81,83.97,94.17,94.5,92.02
27,94.81,83.33,93.25,95.87,92.64
28,94.64,80.77,93.56,96.33,93.87
29,93.8,85.9,96.93,92.66,95.09
30,93.8,84.62,95.09,97.25,94.48
31,96.48,76.28,92.64,96.79,92.02
32,93.97,83.33,95.4,92.66,93.25
33,93.97,84.62,94.79,93.12,93.25
34,92.96,85.9,94.79,95.87,96.93
35,94.97,75.64,95.4,96.33,96.32
36,96.82,76.92,94.48,95.41,92.02
37,95.81,80.77,94.48,94.95,91.41
38,93.47,80.13,94.79,95.87,96.32
39,93.97,84.62,93.87,95.87,96.32
40,94.64,82.69,95.09,95.41,96.32
41,97.82,75.64,95.4,96.33,93.25
42,95.48,80.77,94.79,94.95,95.09
43,95.98,75.0,91.1,97.25,96.93
44,94.47,78.21,96.63,93.58,96.93
45,94.3,80.77,92.64,94.95,98.77
46,94.47,78.21,94.79,93.12,97.55
47,93.8,81.41,96.01,93.58,97.55
48,96.48,67.95,96.01,93.12,95.71
49,95.81,76.28,96.01,92.66,98.77
50,94.64,76.28,95.4,94.04,95.71
51,92.96,84.62,96.63,92.66,93.25
52,93.97,77.56,94.79,96.33,93.25
53,94.81,73.72,92.64,96.33,96.93
54,91.62,80.77,95.09,93.12,95.09
55,94.3,80.13,96.01,94.5,96.93
56,93.3,80.77,95.09,95.87,95.71
57,92.29,80.77,96.32,95.87,95.09
58,95.14,73.72,96.93,97.71,95.09
59,94.64,76.28,94.79,96.33,95.71
60,96.48,71.79,96.63,90.37,95.09
61,95.48,74.36,95.71,96.33,92.02
62,95.81,71.15,96.32,95.87,95.09
63,94.97,75.0,96.01,95.41,90.8
64,93.8,77.56,95.4,94.95,95.09
65,96.65,73.72,95.4,95.41,93.87
66,91.12,82.69,95.4,94.95,94.48
67,95.48,80.77,94.79,95.87,92.64
68,95.14,73.72,92.94,96.79,94.48
69,96.31,77.56,95.71,95.41,93.87
70,92.29,84.62,95.09,96.79,93.87
71,97.32,73.08,96.01,94.04,93.25
72,94.81,75.64,94.79,95.41,96.93
73,94.47,82.69,94.48,96.79,92.02
74,91.29,81.41,96.01,94.95,95.71
75,94.81,79.49,95.09,93.58,96.93
76,96.48,75.0,95.71,94.95,93.87
77,92.8,75.64,95.4,95.41,96.32
78,95.14,83.33,95.4,94.95,93.87
79,95.14,80.77,95.4,96.33,94.48
80,95.81,78.85,95.09,96.79,94.48
81,96.48,80.77,96.01,94.04,94.48
82,97.49,76.92,94.79,94.95,95.09
83,96.15,73.08,96.01,94.5,92.02
84,95.64,75.64,95.4,95.41,92.02
85,95.98,74.36,95.4,96.33,90.18
86,94.97,73.72,95.4,95.41,95.09
87,95.48,76.28,95.71,94.95,95.09
88,95.98,80.77,95.4,93.58,94.48
89,94.97,80.13,95.71,95.41,95.71
90,94.47,80.13,96.01,96.33,93.25
91,93.8,83.97,96.32,93.58,93.25
92,94.97,80.77,96.63,93.58,94.48
93,95.64,81.41,95.09,94.5,92.64
94,93.97,85.26,95.4,92.66,95.71
95,95.81,79.49,95.71,95.41,95.71
96,94.81,81.41,95.4,94.95,96.93
97,94.97,79.49,95.71,94.95,96.93
98,95.14,81.41,96.63,94.95,96.93
99,95.64,78.21,96.01,94.95,93.87
100,96.15,79.49,95.4,95.41,93.87
101,94.81,80.13,94.79,96.33,96.32
102,96.15,76.28,95.4,96.33,93.87
103,95.14,82.69,95.09,95.41,92.02
104,95.81,78.21,95.09,95.41,93.25
105,95.48,83.97,95.09,95.41,92.02
106,95.64,80.77,95.4,94.95,94.48
107,96.65,75.64,94.79,94.5,96.32
108,95.31,76.28,93.56,95.87,95.71
109,97.49,75.64,93.87,96.33,91.41
110,96.98,76.28,94.48,95.41,94.48
111,95.64,78.21,95.09,95.41,93.25
112,95.14,80.13,95.71,95.87,94.48
113,96.31,76.92,94.17,96.79,93.25
114,96.15,77.56,96.01,94.04,92.64
115,95.98,78.21,96.32,94.5,93.87
116,96.15,78.85,95.71,94.95,93.25
117,94.14,83.33,96.32,94.5,92.02
118,95.64,78.85,94.17,95.41,94.48
119,94.14,81.41,95.4,95.41,93.25
120,95.48,79.49,95.4,95.41,92.64
121,95.81,77.56,96.32,94.5,92.64
122,94.97,81.41,95.4,95.41,93.87
123,96.15,78.21,95.4,94.5,92.02
124,96.65,77.56,95.71,94.5,92.64
125,96.65,77.56,96.01,94.5,92.64
126,95.31,82.05,95.71,94.5,93.25
127,94.97,82.69,95.4,95.87,96.32
128,97.15,78.85,96.32,94.5,92.64
129,97.32,77.56,95.71,94.5,92.02
130,96.82,78.85,96.01,95.41,93.25
131,96.82,79.49,95.71,94.95,93.87
132,96.31,78.85,95.71,94.5,95.71
133,95.14,80.13,95.71,95.87,95.09
134,96.48,79.49,95.71,95.41,94.48
135,96.31,79.49,95.71,94.5,92.64
136,95.98,78.85,96.63,94.5,96.32
137,96.65,78.21,95.4,96.33,94.48
138,96.15,79.49,96.32,94.5,96.32
139,96.31,78.85,95.4,94.95,94.48
140,95.81,79.49,95.71,94.5,96.32
141,95.81,80.13,96.01,94.5,93.25
142,95.14,80.77,95.09,94.5,95.09
143,96.15,78.85,95.4,94.5,96.93
144,96.98,78.85,95.4,94.5,93.87
145,95.98,80.13,94.48,95.41,96.32
146,96.15,80.77,95.4,94.5,95.09
147,96.82,80.13,95.09,94.5,93.25
148,95.31,82.05,94.48,95.87,95.09
149,97.32,78.21,95.4,95.87,93.87
150,95.98,78.85,96.01,94.5,96.32
