epoch,train_acc,val_acc
1,84.92,86.3
2,92.19,92.95
3,94.47,93.56
4,95.96,92.88
5,96.66,93.49
6,97.38,90.27
7,97.57,91.58
8,98.05,92.4
9,98.42,88.42
10,98.01,93.08
11,98.54,93.56
12,98.42,91.85
13,99.01,93.29
14,98.99,93.56
15,98.97,89.93
16,99.18,91.23
17,99.07,92.95
18,99.49,93.29
19,99.21,94.52
20,99.33,92.74
21,99.52,92.81
22,99.14,93.9
23,99.37,92.53
24,99.55,93.22
25,99.74,93.9
26,99.69,91.85
27,99.81,93.7
28,99.78,92.74
29,99.83,93.42
30,99.91,92.88
31,99.83,93.15
32,99.95,92.47
33,99.9,94.25
34,99.9,94.32
35,99.97,94.38
36,99.9,93.9
37,99.91,93.9
38,99.97,94.04
39,99.95,93.42
40,100.0,93.9
41,99.98,94.45
42,100.0,94.18
43,100.0,94.32
44,99.97,94.38
45,100.0,94.79
46,100.0,94.52
47,99.98,94.59
48,99.98,94.45
49,100.0,94.45
50,99.98,94.73
