epoch,train_acc,val_acc
1,85.28,90.34
2,91.69,87.4
3,94.0,92.88
4,95.6,93.36
5,96.49,92.19
6,97.04,93.29
7,97.24,93.7
8,97.96,93.7
9,97.88,92.05
10,98.34,90.41
11,98.48,92.53
12,98.61,90.68
13,97.96,91.37
14,98.25,91.58
15,98.65,91.92
16,98.56,92.67
17,98.66,92.95
18,98.6,92.33
19,98.7,93.15
20,98.84,92.88
21,98.87,91.92
22,99.06,91.51
23,98.9,88.36
24,99.01,91.51
25,99.28,92.88
26,98.68,91.92
27,99.02,92.88
28,98.94,92.74
29,99.01,90.41
30,99.23,92.26
31,99.38,91.92
32,99.42,92.88
33,99.01,91.99
34,99.11,93.42
35,99.16,90.75
36,99.18,91.85
37,99.42,92.4
38,99.18,91.44
39,99.43,92.53
40,99.16,90.89
41,99.19,91.1
42,99.42,89.79
43,99.54,92.4
44,99.14,92.53
45,99.43,92.6
46,99.31,92.4
47,99.23,93.29
48,99.14,93.22
49,99.42,91.23
50,99.3,92.53
51,99.43,93.08
52,99.45,92.88
53,99.37,92.47
54,99.57,92.53
55,99.42,92.6
56,99.54,92.6
57,99.55,92.26
58,99.35,93.42
59,99.5,92.74
60,99.26,91.23
61,99.66,92.33
62,99.73,93.36
63,99.62,92.88
64,99.45,91.44
65,99.67,92.12
66,99.49,91.99
67,99.57,92.19
68,99.73,90.96
69,99.61,92.53
70,99.52,90.75
71,99.57,92.26
72,99.57,92.95
73,99.59,91.58
74,99.73,92.47
75,99.73,91.85
76,99.66,91.44
77,99.62,92.4
78,99.67,92.33
79,99.64,91.37
80,99.69,90.55
81,99.71,91.23
82,99.76,92.81
83,99.54,92.05
84,99.76,92.4
85,99.76,91.64
86,99.67,91.3
87,99.76,91.51
88,99.85,90.55
89,99.62,92.47
90,99.73,92.53
91,99.81,91.78
92,99.67,92.6
93,99.79,92.12
94,99.83,92.6
95,99.9,91.99
96,99.64,92.67
97,99.79,93.15
98,99.9,92.05
99,99.67,92.12
100,99.95,92.81
101,99.9,91.3
102,99.79,91.78
103,99.85,91.51
104,99.97,92.12
105,99.86,92.33
106,99.83,92.95
107,99.81,93.22
108,99.83,92.33
109,99.91,90.68
110,99.81,91.99
111,99.9,93.22
112,99.83,92.33
113,99.91,92.74
114,99.93,92.81
115,99.85,92.26
116,99.86,92.6
117,99.98,92.05
118,99.9,91.37
119,99.83,93.15
120,99.97,93.01
121,99.93,92.05
122,99.91,93.63
123,99.91,92.53
124,99.9,92.47
125,99.93,92.26
126,100.0,92.81
127,99.98,92.88
128,99.91,93.01
129,99.86,92.81
130,99.9,92.53
131,99.95,93.01
132,99.97,93.01
133,99.98,92.47
134,99.98,93.15
135,100.0,93.29
136,99.97,93.56
137,99.91,93.15
138,100.0,93.36
139,99.93,92.95
140,99.95,92.05
141,99.97,93.42
142,100.0,93.29
143,100.0,93.22
144,99.98,93.63
145,99.93,93.42
146,100.0,93.49
147,99.97,93.42
148,100.0,92.95
149,99.98,93.49
150,99.97,93.84
151,99.97,93.36
152,100.0,93.22
153,99.97,93.01
154,100.0,93.15
155,100.0,93.42
156,99.97,93.08
157,99.98,93.36
158,99.98,93.42
159,99.98,92.95
160,99.98,93.7
161,100.0,93.77
162,100.0,93.29
163,100.0,93.97
164,100.0,93.77
165,99.98,93.36
166,100.0,93.49
167,100.0,93.97
168,100.0,93.42
169,100.0,93.77
170,99.98,93.77
171,100.0,93.7
172,100.0,93.84
173,99.97,92.95
174,99.98,92.88
175,100.0,93.42
176,100.0,93.77
177,100.0,93.29
178,100.0,93.29
179,99.98,93.77
180,100.0,93.77
181,99.98,93.42
182,99.98,93.36
183,100.0,93.63
184,99.98,94.32
185,100.0,94.25
186,100.0,94.32
187,99.98,93.9
188,100.0,93.9
189,100.0,93.9
190,100.0,93.9
191,100.0,93.97
192,100.0,93.97
193,100.0,93.97
194,99.98,94.04
195,100.0,94.04
196,100.0,94.04
197,100.0,93.97
198,100.0,93.97
199,100.0,93.9
200,100.0,93.97
