epoch,train_acc,val_acc
1,67.86,80.96
2,86.4,90.48
3,91.11,90.96
4,92.87,93.63
5,95.12,93.7
6,96.21,94.18
7,97.19,94.04
8,97.74,92.05
9,97.94,92.74
10,98.65,93.22
11,98.89,92.81
12,98.77,93.77
13,99.02,93.42
14,99.26,93.22
15,99.14,94.11
16,99.25,93.36
17,99.26,93.63
18,99.55,92.95
19,99.37,93.84
20,99.43,94.25
21,99.78,93.56
22,99.71,93.9
23,99.71,94.11
24,99.57,94.18
25,99.76,94.18
26,99.74,93.22
27,99.85,93.49
28,99.76,93.84
29,99.88,93.22
30,99.76,93.9
31,99.78,93.84
32,99.85,93.29
33,99.9,93.7
34,99.91,93.77
35,99.9,93.97
36,99.85,93.29
37,99.9,93.29
38,99.83,93.29
39,99.9,93.22
40,99.9,93.63
41,99.97,93.7
42,99.85,93.84
43,99.86,93.9
44,99.93,93.56
45,99.95,93.9
46,99.93,94.11
47,99.95,94.18
48,99.93,93.36
49,99.98,94.18
50,99.91,93.63
