epoch,train_acc,val_acc
1,66.11,78.7
2,85.2,89.45
3,90.77,90.96
4,93.44,91.51
5,95.19,91.78
6,96.08,92.12
7,96.74,93.42
8,97.55,93.84
9,98.42,91.58
10,98.58,93.22
11,98.8,93.7
12,98.85,92.95
13,99.09,94.18
14,99.01,93.97
15,99.35,93.49
16,99.3,93.9
17,99.45,92.12
18,99.31,93.9
19,99.5,93.36
20,99.67,93.49
21,99.67,93.84
22,99.74,93.22
23,99.64,93.49
24,99.67,93.84
25,99.59,94.38
26,99.71,93.84
27,99.62,93.9
28,99.78,93.22
29,99.59,93.56
30,99.78,94.04
31,99.78,93.29
32,99.69,93.77
33,99.85,93.22
34,99.74,93.63
35,99.83,94.11
36,99.85,93.42
37,99.86,93.9
38,99.79,94.59
39,99.81,93.9
40,99.88,94.04
41,99.73,93.56
42,99.69,93.77
43,99.86,93.97
44,99.9,94.73
45,99.83,93.49
46,99.79,93.63
47,99.85,93.49
48,99.95,93.97
49,99.86,93.63
50,99.91,93.42
51,99.85,93.56
52,99.86,93.9
53,99.78,93.56
54,99.91,94.25
55,99.88,93.84
56,99.86,93.77
57,99.91,94.32
58,99.93,93.42
59,99.91,94.25
60,99.91,94.79
61,99.95,94.73
62,99.95,93.7
63,99.9,93.56
64,99.95,94.52
65,99.97,94.86
66,99.95,92.33
67,99.88,94.52
68,99.97,94.18
69,99.88,94.38
70,99.97,94.25
71,99.93,94.66
72,100.0,94.79
73,99.91,94.32
74,99.93,94.18
75,99.9,94.66
76,99.9,94.38
77,99.97,94.59
78,99.91,94.66
79,99.91,94.18
80,99.91,94.86
81,99.95,94.32
82,99.97,94.45
83,99.95,94.73
84,99.97,94.45
85,99.91,94.38
86,99.93,93.84
87,99.95,94.73
88,99.93,94.93
89,99.97,94.11
90,99.98,94.45
91,99.98,93.7
92,100.0,94.45
93,100.0,94.32
94,99.98,94.45
95,99.93,94.25
96,99.98,94.52
97,100.0,94.25
98,100.0,94.66
99,99.98,94.11
100,100.0,94.66
101,99.97,94.59
102,99.98,94.04
103,99.98,94.18
104,100.0,94.52
105,100.0,94.11
106,99.97,94.25
107,99.93,94.45
108,100.0,94.45
109,100.0,94.93
110,100.0,94.52
111,99.97,94.59
112,99.95,94.11
113,100.0,94.25
114,99.97,94.52
115,100.0,94.59
116,99.98,94.52
117,99.97,94.25
118,99.98,94.45
119,99.98,94.66
120,100.0,94.45
121,100.0,94.73
122,100.0,94.73
123,99.97,94.52
124,100.0,94.52
125,99.98,94.52
126,100.0,94.38
127,99.97,94.45
128,99.97,94.86
129,99.98,94.38
130,100.0,94.38
131,100.0,94.79
132,99.98,94.52
133,100.0,94.45
134,99.98,94.32
135,99.98,94.45
136,100.0,94.32
137,99.97,94.52
138,100.0,94.59
139,100.0,94.52
140,100.0,94.59
141,100.0,94.52
142,100.0,94.38
143,100.0,94.32
144,99.98,94.45
145,100.0,94.59
146,99.98,94.52
147,100.0,94.32
148,99.98,94.66
149,100.0,94.59
150,100.0,94.59
