epoch,train_acc,val_acc
1,81.6,88.08
2,92.43,90.68
3,94.77,92.05
4,97.02,92.6
5,97.67,92.81
6,98.63,93.01
7,98.61,93.29
8,98.85,93.42
9,98.99,94.04
10,99.47,93.42
11,99.38,92.33
12,99.64,93.15
13,99.62,93.15
14,99.71,93.63
15,99.78,93.29
16,99.57,93.77
17,99.74,93.9
18,99.83,93.7
19,99.91,93.77
20,99.78,93.42
21,99.85,93.29
22,99.81,93.15
23,99.85,92.74
24,99.85,94.11
25,99.88,94.11
26,99.91,94.11
27,99.85,93.97
28,99.88,93.49
29,99.97,93.77
30,99.95,93.49
31,99.95,93.63
32,99.95,94.11
33,100.0,93.84
34,100.0,94.86
35,99.97,94.52
36,99.95,94.66
37,99.97,94.45
38,99.97,94.25
39,100.0,94.18
40,100.0,94.73
41,99.98,94.73
42,100.0,94.25
43,100.0,94.38
44,100.0,94.25
45,100.0,94.32
46,100.0,94.32
47,100.0,94.25
48,100.0,94.11
49,100.0,94.52
50,100.0,94.38
