epoch,train_acc,val_acc
1,80.93,89.79
2,92.99,92.88
3,95.25,92.6
4,96.57,93.01
5,97.38,92.74
6,98.08,93.22
7,98.68,93.77
8,98.85,92.19
9,98.82,93.15
10,99.23,91.99
11,99.31,93.08
12,99.37,93.22
13,99.52,94.11
14,99.45,93.08
15,99.61,92.33
16,99.54,92.81
17,99.61,93.29
18,99.49,93.15
19,99.37,92.74
20,99.5,92.47
21,99.55,93.22
22,99.61,94.59
23,99.64,93.77
24,99.62,94.04
25,99.61,93.42
26,99.67,93.56
27,99.73,93.15
28,99.67,93.08
29,99.74,93.63
30,99.69,93.7
31,99.42,93.01
32,99.64,92.88
33,99.57,92.95
34,99.81,93.49
35,99.85,93.36
36,99.86,93.42
37,99.81,93.29
38,99.83,93.01
39,99.73,93.49
40,99.67,93.77
41,99.71,94.18
42,99.76,93.63
43,99.9,92.95
44,99.91,93.36
45,99.83,93.08
46,99.71,92.95
47,99.74,93.36
48,99.95,92.74
49,99.9,93.63
50,99.81,92.88
51,99.93,92.88
52,99.9,92.67
53,99.73,92.53
54,99.74,91.85
55,99.91,93.49
56,99.9,93.01
57,99.93,92.81
58,99.95,93.63
59,99.98,93.08
60,99.93,92.81
61,99.83,93.01
62,99.95,93.22
63,99.83,92.67
64,99.88,92.74
65,99.91,93.42
66,99.98,92.12
67,99.9,93.49
68,99.91,92.53
69,99.9,93.77
70,99.88,92.95
71,99.91,93.49
72,99.93,93.08
73,99.95,93.29
74,99.91,92.33
75,99.83,93.29
76,99.95,93.49
77,99.91,92.33
78,99.97,93.77
79,99.9,93.77
80,99.98,93.84
81,99.98,94.11
82,100.0,94.04
83,100.0,92.95
84,100.0,93.01
85,99.97,92.95
86,100.0,92.88
87,99.91,93.36
88,99.97,93.7
89,100.0,93.7
90,100.0,93.42
91,99.91,93.22
92,99.97,93.56
93,99.97,93.49
94,99.91,93.36
95,99.98,93.97
96,100.0,93.77
97,100.0,93.7
98,100.0,94.18
99,100.0,93.56
100,99.98,93.84
101,100.0,93.63
102,100.0,93.63
103,99.98,93.49
104,100.0,93.42
105,100.0,93.77
106,100.0,93.77
107,100.0,93.63
108,100.0,93.01
109,100.0,93.49
110,100.0,93.7
111,99.98,93.36
112,100.0,93.7
113,100.0,93.49
114,100.0,93.42
115,100.0,93.7
116,100.0,93.7
117,99.98,93.29
118,100.0,93.36
119,100.0,93.15
120,100.0,93.42
121,100.0,93.42
122,100.0,93.56
123,100.0,93.36
124,100.0,93.63
125,100.0,93.7
126,100.0,93.63
127,100.0,94.04
128,100.0,94.11
129,100.0,93.84
130,100.0,94.11
131,100.0,94.11
132,100.0,93.97
133,100.0,93.77
134,100.0,94.11
135,100.0,93.7
136,100.0,94.11
137,100.0,94.11
138,100.0,94.18
139,100.0,93.84
140,100.0,93.9
141,100.0,93.7
142,100.0,93.49
143,100.0,93.97
144,100.0,93.97
145,100.0,93.9
146,100.0,93.97
147,100.0,93.9
148,100.0,93.77
149,100.0,94.25
150,100.0,93.97
